InChI,RT
"InChI=1S/C47H77O13P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-41(49)59-39(38-58-61(55,56)60-47-45(53)43(51)42(50)44(52)46(47)54)37-57-40(48)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h5,7,11-14,17-19,21-22,24,28,30,39,42-47,50-54H,3-4,6,8-10,15-16,20,23,25-27,29,31-38H2,1-2H3,(H,55,56)/b7-5-,13-11-,14-12-,19-17-,21-18-,24-22-,30-28-",474.69852
"InChI=1S/C47H79O13P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-41(49)59-39(38-58-61(55,56)60-47-45(53)43(51)42(50)44(52)46(47)54)37-57-40(48)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h5,7,11-14,17-19,21-22,24,39,42-47,50-54H,3-4,6,8-10,15-16,20,23,25-38H2,1-2H3,(H,55,56)/b7-5-,13-11-,14-12-,19-17-,21-18-,24-22-",486.49824
"InChI=1S/C49H81O13P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-36-38-43(51)61-41(40-60-63(57,58)62-49-47(55)45(53)44(52)46(54)48(49)56)39-59-42(50)37-35-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h5,7,11,13,17-19,21-23,26,28,32,34,41,44-49,52-56H,3-4,6,8-10,12,14-16,20,24-25,27,29-31,33,35-40H2,1-2H3,(H,57,58)/b7-5-,13-11-,19-17-,22-21-,23-18-,28-26-,34-32-",498.16842
"InChI=1S/C49H83O13P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-36-38-43(51)61-41(40-60-63(57,58)62-49-47(55)45(53)44(52)46(54)48(49)56)39-59-42(50)37-35-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h5,7,11,13,17-19,21-23,26,28,41,44-49,52-56H,3-4,6,8-10,12,14-16,20,24-25,27,29-40H2,1-2H3,(H,57,58)/b7-5-,13-11-,19-17-,22-21-,23-18-,28-26-",506.13204
"InChI=1S/C47H79O13P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-41(49)59-39(38-58-61(55,56)60-47-45(53)43(51)42(50)44(52)46(47)54)37-57-40(48)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h5,7,11,13,17-19,21-22,24,28,30,39,42-47,50-54H,3-4,6,8-10,12,14-16,20,23,25-27,29,31-38H2,1-2H3,(H,55,56)/b7-5-,13-11-,19-17-,21-18-,24-22-,30-28-",486.834
"InChI=1S/C47H81O13P/c1-3-5-7-9-11-13-15-17-19-20-22-24-26-28-30-32-34-36-41(49)59-39(38-58-61(55,56)60-47-45(53)43(51)42(50)44(52)46(47)54)37-57-40(48)35-33-31-29-27-25-23-21-18-16-14-12-10-8-6-4-2/h5,7,11,13,17-19,21-22,24,39,42-47,50-54H,3-4,6,8-10,12,14-16,20,23,25-38H2,1-2H3,(H,55,56)/b7-5-,13-11-,19-17-,21-18-,24-22-",501.1719
"InChI=1S/C45H81O13P/c1-3-5-7-9-11-13-15-17-19-21-23-25-27-29-31-33-38(46)55-35-37(36-56-59(53,54)58-45-43(51)41(49)40(48)42(50)44(45)52)57-39(47)34-32-30-28-26-24-22-20-18-16-14-12-10-8-6-4-2/h12,14,17-20,37,40-45,48-52H,3-11,13,15-16,21-36H2,1-2H3,(H,53,54)/b14-12-,19-17-,20-18-",501.492
"InChI=1S/C49H83O13P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-36-38-43(51)61-41(40-60-63(57,58)62-49-47(55)45(53)44(52)46(54)48(49)56)39-59-42(50)37-35-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,21-22,26,28,32,34,41,44-49,52-56H,3-4,6,8-10,12,14-16,18,20,23-25,27,29-31,33,35-40H2,1-2H3,(H,57,58)/b7-5-,13-11-,19-17-,22-21-,28-26-,34-32-",519.2314200000001
"InChI=1S/C49H85O13P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-36-38-43(51)61-41(40-60-63(57,58)62-49-47(55)45(53)44(52)46(54)48(49)56)39-59-42(50)37-35-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,21-22,26,28,41,44-49,52-56H,3-4,6,8-10,12,14-16,18,20,23-25,27,29-40H2,1-2H3,(H,57,58)/b7-5-,13-11-,19-17-,22-21-,28-26-",527.6911200000001
"InChI=1S/C49H87O13P/c1-3-5-7-9-11-13-15-17-19-20-21-22-24-26-28-30-32-34-36-38-43(51)61-41(40-60-63(57,58)62-49-47(55)45(53)44(52)46(54)48(49)56)39-59-42(50)37-35-33-31-29-27-25-23-18-16-14-12-10-8-6-4-2/h5,7,11,13,17,19,21-22,41,44-49,52-56H,3-4,6,8-10,12,14-16,18,20,23-40H2,1-2H3,(H,57,58)/b7-5-,13-11-,19-17-,22-21-",548.53758
